,target,ert,fid,dim,algorithm
30,-4.0,415.53333333333336,5,10,8L
31,-4.2,415.53333333333336,5,10,8L
32,-4.4,415.53333333333336,5,10,8L
33,-4.6000000000000005,415.53333333333336,5,10,8L
34,-4.800000000000001,415.53333333333336,5,10,8L
35,-5.0,415.53333333333336,5,10,8L
36,-5.2,415.53333333333336,5,10,8L
37,-5.4,415.53333333333336,5,10,8L
38,-5.6000000000000005,415.53333333333336,5,10,8L
39,-5.800000000000001,415.53333333333336,5,10,8L
40,-6.0,415.53333333333336,5,10,8L
41,-6.200000000000001,415.53333333333336,5,10,8L
42,-6.4,415.53333333333336,5,10,8L
43,-6.6,415.53333333333336,5,10,8L
44,-6.800000000000001,415.53333333333336,5,10,8L
45,-7.0,415.53333333333336,5,10,8L
46,-7.200000000000001,415.53333333333336,5,10,8L
47,-7.4,415.53333333333336,5,10,8L
48,-7.600000000000001,415.53333333333336,5,10,8L
49,-7.800000000000001,415.53333333333336,5,10,8L
50,-8.0,415.53333333333336,5,10,8L
0,2.0,167.0,5,10,16L
1,1.8,234.33333333333334,5,10,16L
2,1.6,318.73333333333335,5,10,16L
3,1.4,391.73333333333335,5,10,16L
4,1.2,433.6,5,10,16L
5,1.0,494.53333333333336,5,10,16L
6,0.7999999999999998,544.5333333333333,5,10,16L
7,0.5999999999999999,570.1333333333333,5,10,16L
8,0.3999999999999999,570.1333333333333,5,10,16L
9,0.19999999999999998,575.4,5,10,16L
10,0.0,575.4,5,10,16L
11,-0.20000000000000015,602.4,5,10,16L
12,-0.40000000000000036,602.4,5,10,16L
13,-0.6000000000000001,603.7333333333333,5,10,16L
14,-0.8000000000000003,603.7333333333333,5,10,16L
15,-1.0,603.7333333333333,5,10,16L
16,-1.2000000000000002,603.7333333333333,5,10,16L
17,-1.4000000000000004,603.7333333333333,5,10,16L
18,-1.6,603.7333333333333,5,10,16L
19,-1.8000000000000003,603.7333333333333,5,10,16L
20,-2.0,603.7333333333333,5,10,16L
21,-2.2,603.7333333333333,5,10,16L
22,-2.4000000000000004,603.7333333333333,5,10,16L
23,-2.6000000000000005,603.7333333333333,5,10,16L
24,-2.8000000000000007,603.7333333333333,5,10,16L
25,-3.0,603.7333333333333,5,10,16L
26,-3.2,603.7333333333333,5,10,16L
27,-3.4000000000000004,603.7333333333333,5,10,16L
28,-3.6000000000000005,603.7333333333333,5,10,16L
29,-3.8000000000000007,603.7333333333333,5,10,16L
30,-4.0,603.7333333333333,5,10,16L
31,-4.2,603.7333333333333,5,10,16L
32,-4.4,603.7333333333333,5,10,16L
33,-4.6000000000000005,603.7333333333333,5,10,16L
34,-4.800000000000001,603.7333333333333,5,10,16L
35,-5.0,603.7333333333333,5,10,16L
36,-5.2,603.7333333333333,5,10,16L
37,-5.4,603.7333333333333,5,10,16L
38,-5.6000000000000005,603.7333333333333,5,10,16L
39,-5.800000000000001,603.7333333333333,5,10,16L
40,-6.0,603.7333333333333,5,10,16L
41,-6.200000000000001,603.7333333333333,5,10,16L
42,-6.4,603.7333333333333,5,10,16L
43,-6.6,603.7333333333333,5,10,16L
44,-6.800000000000001,603.7333333333333,5,10,16L
45,-7.0,603.7333333333333,5,10,16L
46,-7.200000000000001,603.7333333333333,5,10,16L
47,-7.4,603.7333333333333,5,10,16L
48,-7.600000000000001,603.7333333333333,5,10,16L
49,-7.800000000000001,603.7333333333333,5,10,16L
50,-8.0,603.7333333333333,5,10,16L
0,2.0,300.73333333333335,5,10,32L
1,1.8,377.46666666666664,5,10,32L
2,1.6,590.5333333333333,5,10,32L
3,1.4,628.4666666666667,5,10,32L
4,1.2,688.9333333333333,5,10,32L
5,1.0,804.8666666666667,5,10,32L
6,0.7999999999999998,893.6,5,10,32L
7,0.5999999999999999,932.4666666666667,5,10,32L
8,0.3999999999999999,985.0666666666667,5,10,32L
9,0.19999999999999998,992.0666666666667,5,10,32L
