problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f04-d05-t-8.0,11113.984,2823.2,20334.592,4623.04,46087.168,7209.6,153.516,320.948,124.1,1876.176
f04-d05-t0.0,11113.984,2818.036,20334.592,4623.04,46087.168,7209.6,153.516,304.192,124.1,1867.802
f04-d05-t0.2,11113.984,2817.164,20334.592,4623.04,46087.168,7209.6,153.516,298.372,124.1,1866.664
f04-d05-t0.4,11048.06,2792.618,19892.656,4542.402,45438.152,7105.112,153.516,266.048,124.1,1841.186
f04-d05-t0.6,7894.24,2396.804,12160.832,3830.866,21901.78,5628.326,153.138,229.91,124.032,1736.552
f04-d05-t0.8,5297.0,1972.46,7404.94,3062.946,11798.714,4141.99,152.744,176.302,123.868,1587.322
f04-d05-t1.0,2690.604,1104.01,4061.346,1429.922,7208.79,1946.236,151.874,143.53,123.348,1088.358
f04-d05-t1.2,1715.22,627.996,2632.1,890.75,4697.094,1255.892,150.812,122.634,122.388,718.336
f04-d05-t1.4,1171.128,381.206,1773.55,569.654,3314.56,816.658,146.954,79.208,118.426,379.118
f04-d05-t1.6,789.724,243.882,1211.22,369.28,2125.024,538.832,137.452,50.266,106.97,182.262
f04-d05-t1.8,457.278,140.114,685.724,228.998,1169.858,319.878,116.438,41.606,84.668,100.956
f04-d05-t2.0,214.934,72.878,309.124,108.62,474.67,153.174,68.696,31.388,48.286,52.78
f05-d05-t-0.2,315.712,83.922,537.252,125.02,939.506,197.756,31.0,61.138,25.0,63.354
f05-d05-t-0.4,318.23,84.908,542.044,126.336,949.86,199.41,31.0,61.138,25.0,63.858
f05-d05-t-0.6,319.42,85.346,543.92,126.818,955.0,200.124,31.0,61.138,25.0,64.344
f05-d05-t-0.8,320.912,85.77,546.322,127.108,956.8,200.768,31.0,61.138,25.0,64.552
f05-d05-t-1.0,321.598,85.922,547.436,127.392,962.138,201.232,31.0,61.138,25.0,64.652
f05-d05-t-1.2,322.496,85.976,547.7,127.392,963.252,201.51,31.0,61.138,25.0,64.676
f05-d05-t-1.4,322.584,86.004,548.302,127.608,963.394,201.56,31.0,61.138,25.0,64.798
